,date,account_value
0,2018-01-02,1000000.0
1,2018-01-03,1000166.0095568389
2,2018-01-04,1000953.7598994408
3,2018-01-05,1002065.5217497197
4,2018-01-08,1001223.0285199987
5,2018-01-09,1002151.9766462191
6,2018-01-10,1001723.8013511924
7,2018-01-11,1002976.2739753113
8,2018-01-12,1006161.1026666698
9,2018-01-16,1007640.1796507187
10,2018-01-17,1011174.7984067685
11,2018-01-18,1013644.6154914473
12,2018-01-19,1016212.5976633795
13,2018-01-22,1020674.8556364649
14,2018-01-23,1024503.2294298437
15,2018-01-24,1027663.4991306474
16,2018-01-25,1029902.9840732743
17,2018-01-26,1035958.4046961649
18,2018-01-29,1033625.0494181307
19,2018-01-30,1017484.1609314763
20,2018-01-31,1019081.6611623666
21,2018-02-01,1020193.7312541959
22,2018-02-02,995406.5770577084
23,2018-02-05,953786.21470318
24,2018-02-06,974629.3380171373
25,2018-02-07,974362.6144889637
26,2018-02-08,929984.6413038328
27,2018-02-09,949417.4532385842
28,2018-02-12,965403.9521970155
29,2018-02-13,967340.8319100149
30,2018-02-14,983939.3665392644
31,2018-02-15,995995.269815273
32,2018-02-16,997734.1065239065
33,2018-02-20,992554.8209867055
34,2018-02-21,988161.9228124444
35,2018-02-22,985980.6571260582
36,2018-02-23,1002964.6256743371
37,2018-02-26,1019938.7004593636
38,2018-02-27,1009947.8754694078
39,2018-02-28,993889.1191702192
40,2018-03-01,985436.9948473794
41,2018-03-02,991053.0463941057
42,2018-03-05,1003530.7742012307
43,2018-03-06,1009963.5709025305
44,2018-03-07,1008619.5038388345
45,2018-03-08,1012228.5043228699
46,2018-03-09,1025523.478507179
47,2018-03-12,1023719.2510302445
48,2018-03-13,1018653.4778590791
49,2018-03-14,1012329.311018892
50,2018-03-15,1019031.2579667241
51,2018-03-16,1018615.7408865488
52,2018-03-19,1004654.4280182569
53,2018-03-20,1009313.0317583196
54,2018-03-21,997312.3844184396
55,2018-03-22,964574.4309726846
56,2018-03-23,942463.4860432947
57,2018-03-26,975137.775914045
58,2018-03-27,951921.4863798959
