,date,account_value
0,2018-01-02,1000000.0
1,2018-01-03,1000337.9176345826
2,2018-01-04,1000749.631047821
3,2018-01-05,1007048.322652626
4,2018-01-08,1007687.4685989381
5,2018-01-09,1012762.9576026918
6,2018-01-10,1013128.7129989625
7,2018-01-11,1021524.5907789231
8,2018-01-12,1032855.2256738665
9,2018-01-16,1030718.152273655
10,2018-01-17,1051168.8253159525
11,2018-01-18,1042625.2558045388
12,2018-01-19,1041465.7228150369
13,2018-01-22,1046212.2502884866
14,2018-01-23,1039188.5757279397
15,2018-01-24,1039853.6071686746
16,2018-01-25,1052142.7515244486
17,2018-01-26,1065371.7655777934
18,2018-01-29,1057947.01864481
19,2018-01-30,1044097.0366349221
20,2018-01-31,1056692.0290741923
21,2018-02-01,1058581.7238450053
22,2018-02-02,1033987.1532044412
23,2018-02-05,984505.0381379129
24,2018-02-06,1007912.0833497049
25,2018-02-07,1010695.5439209939
26,2018-02-08,963161.8460144998
27,2018-02-09,980635.9618897439
28,2018-02-12,1001360.5801682473
29,2018-02-13,1001909.75112772
30,2018-02-14,1010456.391134739
31,2018-02-15,1033008.6538300515
32,2018-02-16,1034338.022825718
33,2018-02-20,1031986.7366166116
34,2018-02-21,1024895.585691929
35,2018-02-22,1029689.7697663308
36,2018-02-23,1041844.4189591409
37,2018-02-26,1060989.1912446024
38,2018-02-27,1054658.549604893
39,2018-02-28,1044001.0980210305
40,2018-03-01,1026217.3044877053
41,2018-03-02,1026950.5663590432
42,2018-03-05,1039347.9970688821
43,2018-03-06,1036079.9167542459
44,2018-03-07,1037797.1372361184
45,2018-03-08,1044435.4545121194
46,2018-03-09,1063204.0592789652
47,2018-03-12,1050586.756445408
48,2018-03-13,1041026.0290589334
49,2018-03-14,1028377.6457428933
50,2018-03-15,1028579.592672825
51,2018-03-16,1031695.2330689431
52,2018-03-19,1020677.4111542703
53,2018-03-20,1028528.468542576
54,2018-03-21,1023905.4042725564
55,2018-03-22,987284.0396637918
56,2018-03-23,970642.7966446878
57,2018-03-26,1000779.1395936013
58,2018-03-27,977718.5874085427
59,2018-03-28,976938.9570832254
60,2018-03-29,993700.6373581887
61,2018-04-02,971366.449553013
62,2018-04-03,989080.0483460427
63,2018-04-04,997270.0664048196
64,2018-04-05,1007101.1813721658
65,2018-04-06,980547.5268769265
66,2018-04-09,981809.0339341165
67,2018-04-10,1003470.6030335427
68,2018-04-11,992095.1031785012
69,2018-04-12,1009315.5261139871
70,2018-04-13,999137.9888978006
71,2018-04-16,1008335.0274338723
72,2018-04-17,1020604.7946610452
73,2018-04-18,1024101.070242405
74,2018-04-19,1025571.6358780862
75,2018-04-20,1016454.4713654519
76,2018-04-23,1015132.2487320901
77,2018-04-24,987953.3533844949
78,2018-04-25,995538.8226151468
79,2018-04-26,1007169.0749650003
80,2018-04-27,1004507.6742691995
81,2018-04-30,994140.5994935037
82,2018-05-01,994992.9966874124
83,2018-05-02,984585.3114380838
84,2018-05-03,991205.0437378885
85,2018-05-04,1004156.6746430398
86,2018-05-07,1011989.3337845803
87,2018-05-08,1013435.3828415872
88,2018-05-09,1024359.8174424173
89,2018-05-10,1032080.7605042459
90,2018-05-11,1032663.9371933938
91,2018-05-14,1031870.8471436502
92,2018-05-15,1024444.7869095803
93,2018-05-16,1023933.6790299417
94,2018-05-17,1024288.0533890725
95,2018-05-18,1027751.7349457742
96,2018-05-21,1042607.9839997293
97,2018-05-22,1032247.319700718
98,2018-05-23,1039726.5353684427
99,2018-05-24,1038766.808386326
100,2018-05-25,1038331.0867676736
101,2018-05-29,1022422.5981202127
102,2018-05-30,1035876.638754368
103,2018-05-31,1027042.4013428689
104,2018-06-01,1038550.0516495706
105,2018-06-04,1049153.071165562
106,2018-06-05,1049765.6147599223
107,2018-06-06,1067712.0120987894
108,2018-06-07,1061180.8325638773
109,2018-06-08,1064315.6410279276
110,2018-06-11,1062834.6725983622
111,2018-06-12,1065065.3147110941
112,2018-06-13,1058386.3014740946
113,2018-06-14,1059189.4190583231
114,2018-06-15,1055045.7758088114
115,2018-06-18,1050608.5864396098
116,2018-06-19,1034472.4620575906
117,2018-06-20,1036829.960730076
118,2018-06-21,1027128.4649720193
119,2018-06-22,1028318.3020386697
120,2018-06-25,1014337.3645081521
121,2018-06-26,1017243.2510209085
122,2018-06-27,1007990.205046177
123,2018-06-28,1013272.912405491
124,2018-06-29,1016366.2672333719
125,2018-07-02,1022662.4524750711
126,2018-07-03,1015458.1396393777
127,2018-07-05,1025612.604063511
128,2018-07-06,1031935.0129990579
129,2018-07-09,1044321.9232773782
130,2018-07-10,1052151.0610795023
131,2018-07-11,1045806.7785019876
132,2018-07-12,1060096.2882218363
133,2018-07-13,1064294.5300660136
134,2018-07-16,1065811.2878174784
135,2018-07-17,1073316.1118836405
136,2018-07-18,1077652.2692475321
137,2018-07-19,1067435.4434113505
138,2018-07-20,1069120.2395539286
139,2018-07-23,1068433.278662205
140,2018-07-24,1075372.8997864726
141,2018-07-25,1084967.9858002665
142,2018-07-26,1089811.7731614115
143,2018-07-27,1083797.4373764994
144,2018-07-30,1062785.6261887553
145,2018-07-31,1071139.5058960917
146,2018-08-01,1067887.161764622
147,2018-08-02,1069532.0705399516
148,2018-08-03,1072872.5401597025
149,2018-08-06,1072751.996252537
150,2018-08-07,1079900.5429444315
151,2018-08-08,1077861.7024369242
152,2018-08-09,1074926.4250245097
153,2018-08-10,1065860.4012207987
154,2018-08-13,1061951.4138779643
155,2018-08-14,1067359.375296116
156,2018-08-15,1059011.9252381327
157,2018-08-16,1076689.9803605082
158,2018-08-17,1081564.4220566752
159,2018-08-20,1086481.4135346415
160,2018-08-21,1088366.1627869608
161,2018-08-22,1085987.794653416
162,2018-08-23,1085683.0368561747
163,2018-08-24,1096439.839788914
164,2018-08-27,1105555.3839325907
165,2018-08-28,1105609.3208909037
166,2018-08-29,1110019.6532654765
167,2018-08-30,1103660.021101475
168,2018-08-31,1102142.9523224833
169,2018-09-04,1103307.8233475687
170,2018-09-05,1096936.8713440897
171,2018-09-06,1102720.9596772196
172,2018-09-07,1100944.5913910868
173,2018-09-10,1098375.3912034037
174,2018-09-11,1105894.8650803568
175,2018-09-12,1112938.565153599
176,2018-09-13,1122905.425863743
177,2018-09-14,1125411.2430329325
178,2018-09-17,1118437.6350693705
179,2018-09-18,1130260.7708954813
180,2018-09-19,1129640.3649201395
