,date,account_value
0,2018-01-02,1000000.0
1,2018-01-03,1000015.3199930764
2,2018-01-04,1000125.514323969
3,2018-01-05,1000969.4310063266
4,2018-01-08,1000986.533691696
5,2018-01-09,1001863.4350232009
6,2018-01-10,1002282.6382644576
7,2018-01-11,1003788.7684395694
8,2018-01-12,1006069.9619084015
9,2018-01-16,1005915.72987978
10,2018-01-17,1010003.5451285915
11,2018-01-18,1007462.1785231035
12,2018-01-19,1007825.9103871285
13,2018-01-22,1010058.4487312771
14,2018-01-23,1010635.7799161908
15,2018-01-24,1011617.8375935323
16,2018-01-25,1015423.525518564
17,2018-01-26,1019347.5712237052
18,2018-01-29,1019233.3937875708
19,2018-01-30,1009194.9689726236
20,2018-01-31,1014339.0069924124
21,2018-02-01,1017409.9828727739
22,2018-02-02,1003424.8915623187
23,2018-02-05,976004.6877906264
24,2018-02-06,990440.1978993625
25,2018-02-07,993760.5899241123
26,2018-02-08,964344.2015034735
27,2018-02-09,972656.1749696141
28,2018-02-12,986037.6851873837
29,2018-02-13,985751.8361466904
30,2018-02-14,991789.0948645058
31,2018-02-15,1005634.3483259715
32,2018-02-16,1002066.2477664604
33,2018-02-20,995867.3244370079
34,2018-02-21,993582.5358737106
35,2018-02-22,997515.3600495167
36,2018-02-23,1009474.2746121178
37,2018-02-26,1022124.7104226704
38,2018-02-27,1011776.0520930233
39,2018-02-28,1000799.690722334
40,2018-03-01,982608.12819948
41,2018-03-02,969831.6001085739
42,2018-03-05,986092.7466166381
43,2018-03-06,984861.3220962029
44,2018-03-07,984017.1650616302
45,2018-03-08,988320.1483518638
46,2018-03-09,1007127.9290486431
47,2018-03-12,1000874.2936542912
48,2018-03-13,991949.0100594311
49,2018-03-14,980150.9389646092
50,2018-03-15,985991.8569570045
51,2018-03-16,989285.2277125893
52,2018-03-19,977586.6295963383
53,2018-03-20,982610.223139946
54,2018-03-21,980483.5867047615
55,2018-03-22,950901.4023556386
56,2018-03-23,937417.7416633797
57,2018-03-26,963789.2362921524
58,2018-03-27,946089.5919141083
59,2018-03-28,949634.3438642235
60,2018-03-29,955410.9728088627
61,2018-04-02,942195.8548354531
62,2018-04-03,956520.2165102081
63,2018-04-04,963659.7731120377
64,2018-04-05,976494.0847607746
65,2018-04-06,953917.940700655
66,2018-04-09,954241.3582282944
67,2018-04-10,973537.2800090408
68,2018-04-11,964818.7262553939
69,2018-04-12,977658.6604924964
70,2018-04-13,966252.0777360611
71,2018-04-16,973215.1411067905
72,2018-04-17,978380.3045617408
73,2018-04-18,976071.6750101738
74,2018-04-19,972617.7525440083
75,2018-04-20,966172.6590416508
76,2018-04-23,964388.5780923004
77,2018-04-24,949362.4512785664
78,2018-04-25,956197.0708097324
