,date,account_value
0,2018-01-02,1000000.0
1,2018-01-03,1000069.962903736
2,2018-01-04,1000476.2325272845
3,2018-01-05,1002841.2624015406
4,2018-01-08,1002113.9848559014
5,2018-01-09,1003950.1355630431
6,2018-01-10,1004017.6093385842
7,2018-01-11,1008846.5336824333
8,2018-01-12,1015062.5288083546
9,2018-01-16,1015087.4951194641
10,2018-01-17,1026129.5160800335
11,2018-01-18,1021210.423512313
12,2018-01-19,1025047.5045326872
13,2018-01-22,1030708.9439238654
14,2018-01-23,1027054.5324705401
15,2018-01-24,1028440.2338833248
16,2018-01-25,1035361.4532421924
17,2018-01-26,1050427.0793669769
18,2018-01-29,1040860.7748433029
19,2018-01-30,1024686.7099414913
20,2018-01-31,1021046.2286087028
21,2018-02-01,1019703.6443009598
22,2018-02-02,998975.78017472
23,2018-02-05,953781.9113203804
24,2018-02-06,968558.7191381714
25,2018-02-07,964817.6446943543
26,2018-02-08,928741.8323087952
27,2018-02-09,941250.3819990418
28,2018-02-12,953003.3333082459
29,2018-02-13,954269.0171156189
30,2018-02-14,960922.9926290772
31,2018-02-15,975004.5904451362
32,2018-02-16,979157.499959304
33,2018-02-20,973634.709134658
34,2018-02-21,965100.08905643
35,2018-02-22,969267.4862717068
36,2018-02-23,982290.3768465492
37,2018-02-26,999577.9277650997
38,2018-02-27,986286.801167329
39,2018-02-28,970424.1483124095
40,2018-03-01,960427.910214265
41,2018-03-02,965008.1283691722
42,2018-03-05,973911.9475220043
43,2018-03-06,976851.9429443675
44,2018-03-07,979635.6551216441
45,2018-03-08,983067.4167450267
46,2018-03-09,1000693.3754623729
47,2018-03-12,995528.4676216441
48,2018-03-13,991131.0204323131
49,2018-03-14,982949.9247482616
50,2018-03-15,983757.4355552989
51,2018-03-16,985939.720383485
52,2018-03-19,971499.6974361755
53,2018-03-20,973062.096220813
54,2018-03-21,974301.5678509094
55,2018-03-22,946388.3643101074
56,2018-03-23,925141.607436023
57,2018-03-26,947989.8735386325
58,2018-03-27,935990.4616250965
59,2018-03-28,934083.5964250538
60,2018-03-29,946758.0976977588
61,2018-04-02,923461.855533147
62,2018-04-03,937058.4417905724
63,2018-04-04,947668.9650525963
64,2018-04-05,953215.5242948448
65,2018-04-06,932266.2642431175
66,2018-04-09,936321.2881116783
67,2018-04-10,952022.7529363548
68,2018-04-11,946481.3048048546
69,2018-04-12,955019.6970167686
70,2018-04-13,951187.9209428207
71,2018-04-16,957459.6497669728
72,2018-04-17,966772.3494475147
73,2018-04-18,959787.6902144215
74,2018-04-19,953119.3211767933
75,2018-04-20,946551.0352375881
76,2018-04-23,942858.5626767055
77,2018-04-24,922246.3164532558
78,2018-04-25,920964.301720895
79,2018-04-26,924615.764535226
80,2018-04-27,924449.5924122707
81,2018-04-30,917307.949990041
82,2018-05-01,918612.798231084
83,2018-05-02,910352.6969127246
84,2018-05-03,911236.8369006702
85,2018-05-04,922640.1201258537
86,2018-05-07,924376.430756652
87,2018-05-08,926639.3940707084
88,2018-05-09,934061.2795000907
89,2018-05-10,943330.522071292
90,2018-05-11,945519.8634815819
91,2018-05-14,945062.2525894786
92,2018-05-15,938746.2424881222
93,2018-05-16,941143.5595161679
94,2018-05-17,941962.4738838436
95,2018-05-18,936921.8293376457
96,2018-05-21,944689.535205413
97,2018-05-22,940491.3121448051
98,2018-05-23,942058.712020446
99,2018-05-24,938073.1446300041
100,2018-05-25,935456.099078704
101,2018-05-29,922241.8652072441
102,2018-05-30,935433.3978114616
103,2018-05-31,925911.346523677
104,2018-06-01,934645.645515834
105,2018-06-04,938996.0081638442
106,2018-06-05,938417.9582752334
107,2018-06-06,948434.6132358657
108,2018-06-07,953479.0826419936
109,2018-06-08,958310.3413929092
110,2018-06-11,957472.236481105
111,2018-06-12,958111.0640624077
112,2018-06-13,958387.0459883721
113,2018-06-14,957868.4318984062
114,2018-06-15,959312.6661360771
115,2018-06-18,952481.015565366
116,2018-06-19,945432.7772612278
117,2018-06-20,943961.2327246373
118,2018-06-21,934474.306455106
119,2018-06-22,937943.017024419
120,2018-06-25,930162.3404535267
121,2018-06-26,931545.5372644207
122,2018-06-27,925413.6673455974
123,2018-06-28,929067.8566613933
124,2018-06-29,931573.8583093425
125,2018-07-02,933453.9464135906
126,2018-07-03,930792.403666093
127,2018-07-05,940773.9726167461
128,2018-07-06,944820.859816148
129,2018-07-09,952513.5490747234
130,2018-07-10,959156.8792749187
131,2018-07-11,950759.5679116985
132,2018-07-12,959578.162977769
133,2018-07-13,961442.298449113
134,2018-07-16,960645.040297105
135,2018-07-17,965513.7773347637
136,2018-07-18,966244.0175805828
137,2018-07-19,965180.2728219768
138,2018-07-20,968224.7852350017
139,2018-07-23,966113.1980729839
140,2018-07-24,972768.9831608764
141,2018-07-25,982908.9713871414
142,2018-07-26,990010.8715778763
143,2018-07-27,985013.0920658676
144,2018-07-30,980117.6993315727
145,2018-07-31,989262.0821111595
146,2018-08-01,980644.678670684
147,2018-08-02,979856.3038188469
148,2018-08-03,987059.9348775665
149,2018-08-06,987829.0772983448
150,2018-08-07,992663.3254690487
151,2018-08-08,986606.4285183193
152,2018-08-09,981120.6260899822
153,2018-08-10,974315.228285722
154,2018-08-13,967710.5920399944
155,2018-08-14,970836.4080876629
156,2018-08-15,969823.6427907269
157,2018-08-16,977911.5265111248
158,2018-08-17,982820.9019841473
159,2018-08-20,983819.6560124676
160,2018-08-21,986270.2953061382
161,2018-08-22,981493.3805569927
162,2018-08-23,981881.6671017925
163,2018-08-24,987005.118480344
164,2018-08-27,994548.236209531
165,2018-08-28,995372.1370045139
166,2018-08-29,997652.8831287815
167,2018-08-30,993165.9751850559
168,2018-08-31,992186.8871265842
169,2018-09-04,987636.8049313022
170,2018-09-05,994590.6564823581
171,2018-09-06,994535.6342998935
172,2018-09-07,991778.3682209445
173,2018-09-10,993321.3691059543
174,2018-09-11,991112.4365873024
175,2018-09-12,989740.9905576393
176,2018-09-13,998253.2877950355
177,2018-09-14,995712.6543810341
178,2018-09-17,999198.6477549049
179,2018-09-18,1003109.957267997
180,2018-09-19,1006893.8376200172
181,2018-09-20,1018739.0511400673
182,2018-09-21,1020855.2765233471
183,2018-09-24,1014058.56403708
184,2018-09-25,1006972.194469209
185,2018-09-26,1009305.4088323071
186,2018-09-27,1009217.103641267
187,2018-09-28,1012210.5481641247
188,2018-10-01,1017809.4952580883
189,2018-10-02,1026993.6119801953
190,2018-10-03,1023601.8220212414
191,2018-10-04,1016754.0168797924
192,2018-10-05,1011766.4065854504
193,2018-10-08,1015365.6669537976
194,2018-10-09,1008219.8950269177
195,2018-10-10,980234.6718671276
196,2018-10-11,956328.4737203076
197,2018-10-12,964032.1941049015
198,2018-10-15,966376.7626016132
199,2018-10-16,984741.9435368511
200,2018-10-17,982342.2367535564
201,2018-10-18,971110.0350934002
202,2018-10-19,980936.6883297893
203,2018-10-22,980640.5342083904
204,2018-10-23,968670.5934658977
205,2018-10-24,945246.5247878162
206,2018-10-25,953231.8312710183
207,2018-10-26,947426.9011802265
208,2018-10-29,943932.6959781162
209,2018-10-30,958411.2913058979
210,2018-10-31,959497.070899667
211,2018-11-01,966727.4420391934
212,2018-11-02,967223.2821728603
213,2018-11-05,979945.7708660976
214,2018-11-06,987080.0918576138
215,2018-11-07,1002090.817825021
216,2018-11-08,1004777.8986050503
217,2018-11-09,1003958.1434628384
218,2018-11-12,992569.6658017056
219,2018-11-13,993824.697524728
220,2018-11-14,992069.3949200527
221,2018-11-15,1004435.6673428433
222,2018-11-16,1012557.4405514614
223,2018-11-19,1005932.8425671475
224,2018-11-20,985371.1103605683
225,2018-11-21,981123.5149640305
226,2018-11-23,975317.9444264633
227,2018-11-26,983409.6393002731
228,2018-11-27,990752.4154500229
229,2018-11-28,1007767.6256856186
230,2018-11-29,1006057.8662785752
231,2018-11-30,1018886.43911259
232,2018-12-03,1021153.4384221298
233,2018-12-04,998631.008002208
234,2018-12-06,1001505.2984914047
235,2018-12-07,984076.8095959885
236,2018-12-10,986605.1031369431
237,2018-12-11,988411.3903493149
238,2018-12-12,993769.9844807846
239,2018-12-13,1002643.7922047836
240,2018-12-14,974963.9437741501
241,2018-12-17,952038.4589146835
242,2018-12-18,954059.2234526627
243,2018-12-19,938833.3837385094
244,2018-12-20,926141.4306089737
245,2018-12-21,915095.3413689606
246,2018-12-24,884112.344368686
247,2018-12-26,919597.8697361557
248,2018-12-27,933933.55075793
249,2018-12-28,930291.6547429287
