,date,account_value
0,2018-01-02,1000000.0
1,2018-01-03,999808.0183122634
2,2018-01-04,1002107.4941555023
3,2018-01-05,1003621.8181180954
4,2018-01-08,1002169.5700498582
5,2018-01-09,1003269.6196926117
6,2018-01-10,1004735.5917387009
7,2018-01-11,1010613.7981769562
8,2018-01-12,1017054.7268612976
9,2018-01-16,1016937.9412701721
10,2018-01-17,1020587.2211697693
11,2018-01-18,1016515.5738537903
12,2018-01-19,1024489.6849988098
13,2018-01-22,1033635.3033383484
14,2018-01-23,1032233.4063733215
15,2018-01-24,1038548.8444760437
16,2018-01-25,1040884.3484814758
17,2018-01-26,1047509.9251874085
18,2018-01-29,1041846.3229840393
19,2018-01-30,1027437.5439694519
20,2018-01-31,1026289.3392880554
21,2018-02-01,1031379.1730969544
22,2018-02-02,1000292.8656933899
23,2018-02-05,957118.3692181702
24,2018-02-06,981792.5149319763
25,2018-02-07,979548.095467865
26,2018-02-08,939743.2521603699
27,2018-02-09,954921.5860989685
28,2018-02-12,968673.2098630066
29,2018-02-13,968824.0110791321
30,2018-02-14,980351.1846173401
31,2018-02-15,992733.569169342
32,2018-02-16,992012.7546628113
33,2018-02-20,986528.180825531
34,2018-02-21,980013.746476471
35,2018-02-22,981963.7339413757
36,2018-02-23,998134.263184845
37,2018-02-26,1011473.8314984436
38,2018-02-27,996561.8573620911
39,2018-02-28,982605.1007245178
40,2018-03-01,966605.5893262024
41,2018-03-02,964404.3631833191
42,2018-03-05,975773.9511654968
43,2018-03-06,978315.3037732239
44,2018-03-07,975992.5050213928
45,2018-03-08,980543.2923977966
46,2018-03-09,999651.6041806336
47,2018-03-12,997952.0152142639
48,2018-03-13,989113.0248883362
49,2018-03-14,981643.5286648865
50,2018-03-15,987167.7124341126
51,2018-03-16,990862.170518219
52,2018-03-19,978223.6586850281
53,2018-03-20,981614.0580533142
54,2018-03-21,978875.5603421326
55,2018-03-22,954167.81591922
56,2018-03-23,936307.2153943176
57,2018-03-26,961808.4257062073
58,2018-03-27,947967.4122784729
59,2018-03-28,948389.4320691223
60,2018-03-29,958057.5612271423
61,2018-04-02,941397.7663281555
62,2018-04-03,954643.889016449
63,2018-04-04,963995.8484585877
64,2018-04-05,975087.5387127991
65,2018-04-06,952870.5070126648
66,2018-04-09,957427.3832562561
67,2018-04-10,971035.4478009338
68,2018-04-11,964139.5196545715
69,2018-04-12,974828.763764679
70,2018-04-13,969950.3682644959
71,2018-04-16,975859.3208172913
72,2018-04-17,978946.3770840759
73,2018-04-18,982920.6380246277
74,2018-04-19,981691.1133893128
75,2018-04-20,977221.9380887146
76,2018-04-23,974377.1172574158
77,2018-04-24,964896.6281750794
78,2018-04-25,960817.5067914124
79,2018-04-26,975261.5818799133
80,2018-04-27,977005.5186474915
81,2018-04-30,975559.8647778626
82,2018-05-01,971711.7117322083
83,2018-05-02,965709.0236981506
84,2018-05-03,963520.3257611389
85,2018-05-04,974632.450143158
86,2018-05-07,977225.0787289734
87,2018-05-08,979457.9537289734
88,2018-05-09,989055.9234479065
89,2018-05-10,995256.463990509
90,2018-05-11,999754.5504925842
91,2018-05-14,1000226.1660245056
92,2018-05-15,993488.6861889954
93,2018-05-16,994017.1514599915
94,2018-05-17,989917.5475552673
95,2018-05-18,987849.0690549011
96,2018-05-21,995243.3095334168
97,2018-05-22,992942.7424252625
98,2018-05-23,995219.759820282
99,2018-05-24,992957.7190335388
100,2018-05-25,988594.0218442078
101,2018-05-29,970067.7717297669
102,2018-05-30,983567.6481869812
103,2018-05-31,974227.5555966492
104,2018-06-01,981522.0527585144
105,2018-06-04,989451.3343518372
106,2018-06-05,988278.0788434143
107,2018-06-06,1001143.0952466126
108,2018-06-07,1010451.172181427
109,2018-06-08,1012370.0405209656
110,2018-06-11,1012173.94432193
111,2018-06-12,1012036.5810864563
112,2018-06-13,1009447.1514828796
113,2018-06-14,1007985.5464795227
114,2018-06-15,1005437.5777752991
115,2018-06-18,1004747.3496411438
116,2018-06-19,995965.5132458801
117,2018-06-20,993221.1412671204
118,2018-06-21,987851.055535614
119,2018-06-22,990134.1219113464
120,2018-06-25,977441.3783581848
121,2018-06-26,980390.3075726624
122,2018-06-27,972367.2096036072
123,2018-06-28,978244.786622345
124,2018-06-29,982707.4906933899
125,2018-07-02,983924.1648572083
126,2018-07-03,977472.9690259094
127,2018-07-05,982870.3203976746
128,2018-07-06,987362.0244458313
129,2018-07-09,999022.4960950012
130,2018-07-10,1003235.3674252625
131,2018-07-11,995745.9408047791
132,2018-07-12,1003949.2094662781
133,2018-07-13,1001480.3579266663
