date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2018-01-02,0,19,0,36,0,0,15,42,43,30,0,39,0,38,0,25,0,44,53,0,0,0,52,0,33,41,0,44,25
2018-01-03,0,19,0,36,0,0,15,42,43,30,0,39,0,38,0,25,0,44,53,0,0,0,52,0,33,41,0,44,25
2018-01-04,0,19,0,36,0,0,15,42,43,30,0,39,0,38,0,25,0,44,53,0,0,0,52,0,33,41,0,44,25
2018-01-05,0,19,0,36,0,0,15,42,43,30,0,39,0,38,0,25,0,44,53,0,0,0,52,0,33,41,0,44,25
2018-01-08,0,19,0,36,0,0,15,42,43,30,0,39,0,38,0,25,0,44,53,0,0,0,52,0,33,41,0,44,25
2018-01-09,0,19,0,36,0,0,15,42,43,30,0,39,0,38,0,25,0,44,53,0,0,0,52,0,33,41,0,44,25
2018-01-10,0,19,0,36,0,0,15,42,43,30,0,39,0,38,0,25,0,44,53,0,0,0,52,0,33,41,0,44,25
2018-01-11,0,19,0,36,0,0,15,42,43,30,0,39,0,38,0,25,0,44,53,0,0,0,52,0,33,41,0,44,25
2018-01-12,0,19,0,36,0,0,15,42,43,30,0,39,0,38,0,25,0,44,53,0,0,0,52,0,33,41,0,44,25
2018-01-16,0,19,0,36,0,0,15,42,43,30,0,39,0,38,0,25,0,44,53,0,0,0,52,0,33,41,0,44,25
2018-01-17,0,19,0,36,0,0,15,42,43,30,0,39,0,38,0,25,0,44,53,0,0,0,52,0,33,41,0,44,25
2018-01-18,0,19,0,36,0,0,15,42,43,30,0,39,0,38,0,25,0,44,53,0,0,0,52,0,33,41,0,44,25
2018-01-19,0,0,0,20,0,0,2,51,63,0,0,51,0,47,0,63,0,42,59,0,0,0,62,0,50,43,0,46,44
2018-01-22,0,-53,0,-92,0,88,-62,70,61,-90,0,64,81,99,95,69,97,-91,81,0,0,52,91,0,-44,-92,0,92,-53
2018-01-23,0,-72,0,-89,0,91,-75,34,56,-92,0,46,86,97,94,74,99,-96,86,0,0,60,90,0,-41,-97,0,66,-64
2018-01-24,0,-78,0,-87,0,92,-45,80,51,-88,0,49,88,47,95,74,99,-99,94,0,0,90,93,0,-61,-99,0,-90,14
2018-01-25,0,-25,0,-78,82,87,0,56,39,-71,0,54,78,-71,95,39,97,-99,92,0,0,90,91,0,-52,-99,31,-97,71
2018-01-26,31,0,0,-94,-55,95,0,69,66,-19,0,56,94,55,93,78,99,-99,95,0,0,87,95,0,-70,-99,-31,-87,-76
2018-01-29,0,0,0,-12,-20,29,0,0,0,0,0,0,93,0,92,0,97,-86,93,0,0,1,94,0,-63,-49,0,-43,-91
2018-01-30,0,0,0,0,0,0,0,0,0,0,0,0,97,46,0,0,99,0,0,0,0,-19,98,0,-65,0,0,0,-96
2018-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,2,52,0,99,0,0,0,0,-29,98,0,-50,0,0,0,-49
2018-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,-34,0,0,0,0,0,0,0
2018-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,-30,0,0,0,0,0,0,0
2018-02-05,0,0,0,0,0,0,0,-53,0,0,0,0,0,0,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2018-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,11,0,0,0,0,0,0
2018-02-15,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-40,37,0,0,0,0,0,0
2018-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,-3,0,0,0,0,0,-53,0,0,0,0,0,0,0
